Match,Match_id,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Australia vs Sri Lanka,T20I # 1845,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0
Australia vs Sri Lanka,T20I # 1845,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0
Australia vs Sri Lanka,T20I # 1845,Marcus Stoinis,2,0,17,0,8.5,1,1,0,1,0
Australia vs Sri Lanka,T20I # 1845,Mitchell Marsh,1,0,14,0,14,1,1,1,0,0
Australia vs Sri Lanka,T20I # 1845,Glenn Maxwell,1,0,5,1,5,2,0,0,0,0
Australia vs Sri Lanka,T20I # 1845,Binura Fernando,0.5,0,5,0,6,2,0,0,0,0
Australia vs Sri Lanka,T20I # 1845,Dhananjaya de Silva,2.1,0,18,1,8.3,4,1,1,0,0
Australia vs Sri Lanka,T20I # 1845,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0
Australia vs Sri Lanka,T20I # 1845,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0
Australia vs Sri Lanka,T20I # 1845,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0
Australia vs Sri Lanka,T20I # 1845,Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,0,0
Australia vs Sri Lanka,T20I # 1845,Dasun Shanaka,1,0,10,0,10,2,2,0,0,0
England vs Ireland,T20I # 1846,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0
England vs Ireland,T20I # 1846,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0
England vs Ireland,T20I # 1846,Mark Wood,4,0,34,3,8.5,13,4,1,2,0
England vs Ireland,T20I # 1846,Sam Curran,3,0,31,2,10.33,7,1,2,0,0
England vs Ireland,T20I # 1846,Adil Rashid,4,0,24,0,6,6,1,0,0,0
England vs Ireland,T20I # 1846,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0
England vs Ireland,T20I # 1846,Josh Little,3,0,16,2,5.33,11,2,0,2,0
England vs Ireland,T20I # 1846,Mark Adair,2,0,10,0,5,5,0,0,0,0
